#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-06-25T21:04:38 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b3158a94c4a	
#INFO	-out.max=999999	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=999999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:B/astorb&tab:{B/astorb/astorb}&key:source=B/astorb/astorb&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=B/astorb/astorb
#-order=I
#Ephem=Ephem
#-out=i
#-out=e
#
#
#RESOURCE=yCat_102032
#Name: B/astorb
#Title: Orbits of Minor Planets (Bowell+ 2014)
#Table	B_astorb_astorb:
#Name: B/astorb/astorb
#Title: The catalog of Orbits (2014-01-05)
#Column	i	(F10.6)	Inclination (3)	[ucd=]
#Column	e	(F11.8)	Eccentricity (3)	[ucd=]
#i	e
#deg	
#----------	-----------
 10.593515	 0.07554415
 34.837147	 0.23042742
 12.989346	 0.25691180
  7.141443	 0.08892044
  5.367533	 0.19127620
 14.736775	 0.20292514
  5.523650	 0.23135105
  5.886866	 0.15691806
  5.576802	 0.12277886
  3.831582	 0.11265038
  4.630057	 0.10060442
  8.373227	 0.22004040
 16.538803	 0.08443762
  9.121625	 0.16672681
 11.738469	 0.18601001
  3.094521	 0.13367777
  5.590913	 0.13288182
 10.130778	 0.21839274
  1.573895	 0.15861500
  0.708666	 0.14217388
  3.063915	 0.16387255
 13.717917	 0.09864931
 10.114343	 0.23509826
  0.751656	 0.12501220
 21.606031	 0.25440741
  3.563470	 0.09033462
  1.583712	 0.17319887
  9.430733	 0.15201617
  6.081966	 0.07238308
  2.095804	 0.12742061
 26.305306	 0.22104113
  5.524668	 0.08043221
  1.854292	 0.33194408
  5.497503	 0.10523098
  7.934609	 0.22584775
 18.367787	 0.30453249
  3.071190	 0.17549610
  6.970337	 0.15509364
 10.366864	 0.11180347
  4.257214	 0.04689065
 15.794462	 0.27559141
  8.514411	 0.22256245
  3.471199	 0.16828236
  3.706583	 0.14800866
  6.602828	 0.08430493
  2.349797	 0.17182833
  4.975691	 0.12967730
  6.546995	 0.07263101
  3.174736	 0.22416215
  2.838039	 0.28594198
  9.979553	 0.06709802
  7.478648	 0.11025992
  5.170950	 0.20573635
 11.794990	 0.19780330
  7.180387	 0.14279813
  8.080397	 0.23781964
 15.215868	 0.11371192
  5.065111	 0.04290384
  8.641130	 0.11928142
  3.600714	 0.18370926
 18.205507	 0.16653769
  2.228593	 0.16837240
  5.776240	 0.12689372
  1.309507	 0.12574283
  3.562940	 0.11173365
  3.045994	 0.17281120
  6.030460	 0.18534954
  7.971960	 0.18683376
  8.592529	 0.17042032
 11.595215	 0.18035453
 23.259433	 0.17335491
  5.416687	 0.12090032
  2.370679	 0.04327670
  4.076799	 0.23786773
  4.995998	 0.30436104
  2.121800	 0.16584013
  2.422702	 0.13194622
  8.701956	 0.20747444
  4.617282	 0.19064088
  8.675822	 0.19990283
  7.803731	 0.21053040
  2.826589	 0.21963059
  4.964648	 0.08174464
  9.314792	 0.23569705
 11.961500	 0.19431948
  4.820745	 0.21465860
 10.876996	 0.09283622
  5.213857	 0.16160904
 16.127006	 0.18459430
  2.207068	 0.16583125
  2.106146	 0.10600759
  9.931228	 0.10423083
  8.558351	 0.13904217
  7.971411	 0.09379479
 12.995401	 0.15257425
 15.962092	 0.14019460
 11.777225	 0.25695611
 15.571945	 0.18627063
 13.848606	 0.19498384
  6.431266	 0.16896502
 10.194727	 0.14006687
  5.178455	 0.25264862
  5.416524	 0.07973955
  2.790092	 0.16030219
 21.443156	 0.17746481
  4.597454	 0.16482224
 10.000827	 0.06552348
  4.219869	 0.05561321
  7.848582	 0.29776424
  5.964970	 0.08129154
  4.931260	 0.10288312
  2.599240	 0.12752016
  5.042442	 0.08703896
  4.936635	 0.13508055
 11.593261	 0.19296423
  3.564418	 0.14230147
 14.901811	 0.02771882
  7.746095	 0.16446030
  5.786229	 0.08032900
  6.962013	 0.05235930
  7.597605	 0.13288602
  1.640268	 0.03194110
  6.414310	 0.12038674
  2.957266	 0.07546898
  4.663681	 0.07770441
  2.924630	 0.10643857
  8.245734	 0.06703466
  6.245408	 0.12728911
 12.263814	 0.21193371
 22.768733	 0.20860802
  4.961445	 0.06769362
 24.994332	 0.38994145
  7.213979	 0.13560555
 11.600511	 0.11671480
  2.304579	 0.20746491
  9.578725	 0.08501023
 13.431401	 0.21179640
  3.203808	 0.16267422
 10.910919	 0.17504260
  3.185434	 0.21403689
 11.896713	 0.21481717
  2.238455	 0.13492891
 11.441294	 0.07476041
  4.814359	 0.23439509
 12.635284	 0.14407772
 13.096989	 0.06745996
  1.931539	 0.02700301
 25.290575	 0.18687207
  0.939347	 0.06508202
  2.201295	 0.12336397
  6.434829	 0.03336867
 12.125233	 0.08032498
  7.826660	 0.14013051
 20.973126	 0.07712263
 11.388153	 0.27730472
  9.781818	 0.22738166
 12.163485	 0.19567026
  1.001904	 0.05140243
  6.130044	 0.10728466
  3.824514	 0.06685172
  9.059603	 0.13761912
  6.094803	 0.17997585
  4.813433	 0.19061096
 24.473538	 0.34632102
 11.226645	 0.08535773
 12.027919	 0.21181017
  2.212492	 0.03711096
  4.670180	 0.07344769
  5.499177	 0.13068842
 14.377458	 0.06363958
  2.546800	 0.13244143
 10.019328	 0.11390305
 14.196373	 0.20850393
 12.121325	 0.14121056
  3.218450	 0.23285950
 22.673833	 0.17040421
  1.384733	 0.23580082
  1.894972	 0.04336318
  7.817149	 0.11284175
  0.865629	 0.16568283
 18.876959	 0.20547517
  2.005030	 0.18582093
 26.391026	 0.35076901
  1.142894	 0.06649523
 23.238240	 0.12917500
 13.184582	 0.14993700
 10.586640	 0.24178419
 11.704836	 0.17878021
  5.177726	 0.03697843
  6.177308	 0.16623494
 11.507819	 0.09092684
  6.797519	 0.24499612
 11.993042	 0.29612869
 18.510692	 0.23832379
  6.970920	 0.04376384
  7.263020	 0.01593257
  8.795464	 0.16431316
  9.320844	 0.22680965
 15.480172	 0.18007946
  6.889632	 0.13232781
  5.756164	 0.18049278
  8.849917	 0.10377455
  3.171460	 0.05795129
  8.287728	 0.17439504
 10.696004	 0.03600281
  3.776937	 0.03731836
  3.803279	 0.02891296
  1.745192	 0.01254736
  7.171422	 0.05648384
  5.260389	 0.12346880
  3.886259	 0.16090501
  4.259004	 0.10370129
  6.800731	 0.14501113
  3.435542	 0.03133019
  1.684290	 0.03525988
 13.113401	 0.25089371
 10.516584	 0.30975377
 15.199335	 0.11748531
 10.862677	 0.22313825
  7.594348	 0.25706387
 10.881048	 0.10454032
  2.149330	 0.13125600
  1.935251	 0.11572213
  5.841297	 0.04356341
 20.870871	 0.26399967
 15.966335	 0.20359611
  9.151207	 0.19094196
  2.536512	 0.24229161
  2.078734	 0.13921842
  9.450962	 0.06138858
  5.100706	 0.15147753
  6.064954	 0.17518270
  7.690913	 0.09898162
 15.375000	 0.24567285
  9.032262	 0.06322230
  7.693990	 0.19064861
  9.747803	 0.07105158
 12.412658	 0.08935282
  6.174240	 0.23512110
  2.105029	 0.20711010
  5.504408	 0.10257918
 11.352213	 0.12105556
  1.129261	 0.04223711
  2.845247	 0.13689114
  5.179520	 0.19614722
 15.620496	 0.11021830
 24.950537	 0.24467943
  4.060903	 0.06584917
  9.619130	 0.21788691
 12.820356	 0.13470785
 10.510705	 0.09856278
 10.039462	 0.06659385
  6.738857	 0.26282266
  4.512759	 0.12167093
  9.467263	 0.07827199
 13.327245	 0.06625598
  3.630275	 0.11058928
 14.322880	 0.20394378
 10.817615	 0.12861032
  6.412130	 0.11376549
  3.635770	 0.08903860
  7.687106	 0.21363355
  1.320385	 0.07732782
 10.425444	 0.13706132
 25.642005	 0.26730082
 13.405904	 0.15465939
  6.003230	 0.09858203
  2.440198	 0.13744447
  5.477714	 0.21317026
  2.368223	 0.15024472
  3.538534	 0.10376740
  4.439150	 0.02672426
 20.449254	 0.16054924
  3.677356	 0.11963800
  4.763904	 0.16396181
 21.613542	 0.06763600
  1.162686	 0.09180700
  7.817699	 0.13194039
  2.337414	 0.03708460
  7.440309	 0.10957335
  5.304015	 0.13271533
  9.031892	 0.08034936
  7.978543	 0.14470174
  8.057600	 0.22191783
 17.602899	 0.20584621
 17.901983	 0.02871196
 10.032335	 0.02367265
  4.335810	 0.20491886
  6.681072	 0.20150247
 22.330621	 0.25687420
  1.855507	 0.09212428
 14.897722	 0.03442702
 15.582983	 0.10638976
  6.264446	 0.23304600
  2.708536	 0.17160947
  1.747420	 0.16079876
  7.549078	 0.14222754
  6.287433	 0.09563868
  1.605899	 0.06154559
  0.731881	 0.05688419
  4.894977	 0.06716357
  3.413297	 0.11158196
  6.872600	 0.06138723
 15.848621	 0.22200002
  4.450125	 0.19505340
  7.276345	 0.15121456
  6.125641	 0.14338085
  4.361535	 0.04046430
  3.714484	 0.11350076
  3.172292	 0.11339149
  3.227296	 0.00216185
  9.028361	 0.15933333
 11.649971	 0.18126165
 12.520959	 0.17284684
  2.428514	 0.16810190
  2.339056	 0.13575169
  1.765576	 0.08557888
 10.655479	 0.08470627
 10.563842	 0.21702979
  9.379227	 0.11691859
  2.587564	 0.04657719
  8.054411	 0.24625861
 24.231554	 0.29987961
 11.100264	 0.34057613
  8.550880	 0.15848408
 23.729817	 0.19021361
  7.141761	 0.06088299
 16.111072	 0.10562038
 15.880445	 0.02465279
  6.756698	 0.25333866
  6.050208	 0.09872940
  2.845376	 0.08777661
  3.738632	 0.15929995
  4.642319	 0.02315942
  5.100413	 0.17253947
  5.653676	 0.09533580
  7.853350	 0.13710045
  6.049667	 0.02223679
  9.963003	 0.09755874
  4.670729	 0.11494253
  5.668957	 0.19448142
  7.352774	 0.12839645
  3.261458	 0.22857686
 18.347287	 0.31334067
  9.747753	 0.06080936
  8.751994	 0.10171148
 11.681030	 0.16671239
  9.756591	 0.06957531
  8.245947	 0.09149306
 24.891627	 0.15930602
  9.196039	 0.15278202
  3.384746	 0.14953132
  5.708204	 0.32754017
 18.397916	 0.11423090
  4.282997	 0.10625974
  8.201275	 0.23909298
 15.054853	 0.07615293
  3.553943	 0.15287735
  6.771121	 0.15720913
 11.693714	 0.17738202
 12.626436	 0.21327646
  8.064448	 0.04328829
  5.947120	 0.07077518
  6.003663	 0.14966142
 12.790829	 0.15730052
 10.578143	 0.05581276
  2.941546	 0.09528489
  7.796580	 0.20055476
 12.715825	 0.09632088
  7.864688	 0.09129585
  7.397076	 0.06471386
 23.826797	 0.25919024
 15.389004	 0.13887688
  8.994256	 0.07979549
 15.938101	 0.10565333
  5.432001	 0.17210564
  6.678598	 0.07803130
  7.006246	 0.13013861
  1.670417	 0.18180579
  6.159676	 0.11338811
 12.555510	 0.09010861
  7.390931	 0.17199808
  2.658273	 0.16588845
  5.590742	 0.14870079
 13.549489	 0.12217381
 20.217908	 0.16895269
 18.113326	 0.23500568
  6.445104	 0.06526341
  8.121423	 0.06746415
 12.161455	 0.13214960
 23.201620	 0.30531631
 14.321944	 0.14123828
 14.878525	 0.33068013
  6.219775	 0.22653767
  3.354324	 0.08544451
  2.551100	 0.16005627
 12.863596	 0.24726705
  9.526629	 0.22318000
 13.107490	 0.07427970
 10.525921	 0.11680545
  5.966500	 0.03283190
 11.824292	 0.11130087
  9.158719	 0.09799879
 14.104110	 0.19872382
 11.941604	 0.24246552
  4.188254	 0.18032843
  7.521207	 0.06948767
  9.086222	 0.14444255
 11.268119	 0.07273743
 10.966030	 0.24214999
 15.344000	 0.11678136
 13.768057	 0.04298047
 18.714046	 0.34188505
  9.556621	 0.07232073
  8.166382	 0.29992084
 12.863427	 0.21823865
  6.648790	 0.13599983
  6.818226	 0.11958189
  3.926413	 0.25070145
  6.689207	 0.03030564
  7.785223	 0.28352029
  4.997480	 0.21452777
 11.244147	 0.03624984
  8.210097	 0.10748829
  4.047810	 0.05989319
 19.475777	 0.10427268
  5.125396	 0.12105168
  6.197609	 0.17839585
  9.542494	 0.12266599
 14.595925	 0.25487272
  1.827671	 0.16986160
 12.121761	 0.14600107
 10.828164	 0.22264650
 22.507997	 0.07358857
  1.816567	 0.15558037
 18.507669	 0.06827609
  7.345713	 0.24900079
  7.372402	 0.06833691
